PRIMARY_KEY,REP_DATE,REP_TIME,LOCATION,X_COORDINATE,Y_COORDINATE,APD_sector,CouncilDistrict,county_description,ZIP,CENSUS_TRACT,RACE_KNOWN,Reason for Stop – TCOLE form,SEX,APD_RACE_DESC,Person Search YN,Search Based On,Search Found
20181260012,05/06/2018,5,313 W WILLIAM CANNON DR,3101823,10043766,FR,Council District 2,TRAVIS COUNTY,78745,24.22,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181631983,06/12/2018,2259,3500 OAKMONT BLVD,3110206,10085457,BA,Council District 10,TRAVIS COUNTY,78731,1.01,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181600125,06/09/2018,314,1516 BURTON DR,3119061,10060239,HE,Council District 3,TRAVIS COUNTY,78741,23.16,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181221858,05/02/2018,2355,2600 N LAMAR BLVD,3111955,10079423,BA,Council District 9,TRAVIS COUNTY,78705,6.03,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181340552,05/14/2018,1054,2700 RAY WOOD DR,3106378,10060657,DA,Council District 3,TRAVIS COUNTY,78704,13.07,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,HISPANIC OR LATINO,NO,,
20181451626,05/25/2018,1941,800 NORWOOD PARK BLVD,3128054,10098051,ID,Council District 4,TRAVIS COUNTY,78753,18.13,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,NO,,
20181521336,06/01/2018,1801,4410 E RIVERSIDE DR,3121437,10058363,HE,Council District 3,TRAVIS COUNTY,78741,23.18,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Violation of law other than traffic,M,HISPANIC OR LATINO,YES,PROBABLE CAUSE,DRUGS
20181570261,06/06/2018,522,1915 BURBANK ST,3115887,10097493,ID,Council District 7,TRAVIS COUNTY,78757,15.05,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,F,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181511563,05/31/2018,2109,W PARMER LN / SCOFIELD FARMS DR,3130776,10123268,ED,Council District 7,TRAVIS COUNTY,78758,18.26,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,HISPANIC OR LATINO,YES,PROBABLE CAUSE,NOTHING
20181360411,05/16/2018,753,1054 SPRINGDALE RD,3129983,10072500,CH,Council District 1,TRAVIS COUNTY,78721,21.11,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Pre-existing knowledge (i.e. warrant),M,BLACK,YES,PROBABLE CAUSE,OTHER
